titles,urls,ratings,n_favs,genres,authors
Shijou Saikyou no Deshi Kenichi,https://myanimelist.net/manga/988/Shijou_Saikyou_no_Deshi_Kenichi,8.1,,[],[]
The Ravages of Time,https://myanimelist.net/manga/1320/The_Ravages_of_Time,8.1,,[],[]
Kaze to Ki no Uta,https://myanimelist.net/manga/1365/Kaze_to_Ki_no_Uta,8.1,,[],[]
Girl Friends,https://myanimelist.net/manga/3102/Girl_Friends,8.1,,[],[]
Karakai Jouzu no (Moto) Takagi-san,https://myanimelist.net/manga/108187/Karakai_Jouzu_no_Moto_Takagi-san,8.1,,[],[]
Runway de Waratte,https://myanimelist.net/manga/108696/Runway_de_Waratte,8.1,,[],[]
Orange,https://myanimelist.net/manga/95211/Orange,8.09,,[],[]
"Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe",https://myanimelist.net/manga/57035/Owari_no_Seraph__Ichinose_Guren_16-sai_no_Catastrophe,8.09,,[],[]
Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,https://myanimelist.net/manga/62671/Gekijouban_Mahou_Shoujo_Madoka★Magica__Shinpen_-_Hangyaku_no_Monogatari,8.09,,[],[]
Karakai Jouzu no Takagi-san,https://myanimelist.net/manga/78537/Karakai_Jouzu_no_Takagi-san,8.09,,[],[]
Fate/stay night: Garden of Avalon,https://myanimelist.net/manga/85773/Fate_stay_night__Garden_of_Avalon,8.09,,[],[]
Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,https://myanimelist.net/manga/115710/Jujutsu_Kaisen_0__Tokyo_Toritsu_Jujutsu_Koutou_Senmon_Gakkou,8.09,,[],[]
Beauty Pop,https://myanimelist.net/manga/633/Beauty_Pop,8.09,,[],[]
Soul Eater,https://myanimelist.net/manga/908/Soul_Eater,8.09,,[],[]
Vagrant Soldier Ares,https://myanimelist.net/manga/1076/Vagrant_Soldier_Ares,8.09,,[],[]
Saraiya Goyou,https://myanimelist.net/manga/13271/Saraiya_Goyou,8.09,,[],[]
One Piece: Strong World,https://myanimelist.net/manga/17152/One_Piece__Strong_World,8.09,,[],[]
Byousoku 5 Centimeter,https://myanimelist.net/manga/34841/Byousoku_5_Centimeter,8.09,,[],[]
Mahou Shoujo Madoka★Magica,https://myanimelist.net/manga/24457/Mahou_Shoujo_Madoka★Magica,8.08,,[],[]
Fate/stay night: Heaven's Feel,https://myanimelist.net/manga/88110/Fate_stay_night__Heavens_Feel,8.08,,[],[]
Hitoribocchi no ○○ Seikatsu,https://myanimelist.net/manga/89467/Hitoribocchi_no_○○_Seikatsu,8.08,,[],[]
Aishiteru Game wo Owarasetai,https://myanimelist.net/manga/143031/Aishiteru_Game_wo_Owarasetai,8.08,,[],[]
Telework Yotabanashi,https://myanimelist.net/manga/153158/Telework_Yotabanashi,8.08,,[],[]
Gunslinger Girl,https://myanimelist.net/manga/649/Gunslinger_Girl,8.08,,[],[]
Bokurano,https://myanimelist.net/manga/670/Bokurano,8.08,,[],[]
Ore to Akuma no Blues,https://myanimelist.net/manga/1211/Ore_to_Akuma_no_Blues,8.08,,[],[]
Shigurui,https://myanimelist.net/manga/3868/Shigurui,8.08,,[],[]
Oboreru Knife,https://myanimelist.net/manga/10330/Oboreru_Knife,8.08,,[],[]
Shaman King Kanzenban,https://myanimelist.net/manga/12917/Shaman_King_Kanzenban,8.08,,[],[]
Your Letter,https://myanimelist.net/manga/120875/Your_Letter,8.08,,[],[]
Jibaku Shounen Hanako-kun 0,https://myanimelist.net/manga/124094/Jibaku_Shounen_Hanako-kun_0,8.08,,[],[]
A Stepmother's Märchen,https://myanimelist.net/manga/131008/A_Stepmothers_Märchen,8.08,,[],[]
Zense Coupling,https://myanimelist.net/manga/128072/Zense_Coupling,8.07,,[],[]
Cheese in the Trap Season 2,https://myanimelist.net/manga/107417/Cheese_in_the_Trap_Season_2,8.07,,[],[]
Touhou Ibara Kasen: Wild and Horned Hermit.,https://myanimelist.net/manga/21054/Touhou_Ibara_Kasen__Wild_and_Horned_Hermit,8.07,,[],[]
Kokoro Connect,https://myanimelist.net/manga/24380/Kokoro_Connect,8.07,,[],[]
Gangsta.,https://myanimelist.net/manga/24903/Gangsta,8.07,,[],[]
Hyouka,https://myanimelist.net/manga/41629/Hyouka,8.07,,[],[]
Gakkougurashi!,https://myanimelist.net/manga/55163/Gakkougurashi,8.07,,[],[]
Tanaka-kun wa Itsumo Kedaruge,https://myanimelist.net/manga/59893/Tanaka-kun_wa_Itsumo_Kedaruge,8.07,,[],[]
Naruto,https://myanimelist.net/manga/11/Naruto,8.07,,[],[]
Dogs: Bullets & Carnage,https://myanimelist.net/manga/648/Dogs__Bullets___Carnage,8.07,,[],[]
Let Dai,https://myanimelist.net/manga/1033/Let_Dai,8.07,,[],[]
Gokusen,https://myanimelist.net/manga/1092/Gokusen,8.07,,[],[]
Five Star Stories,https://myanimelist.net/manga/1659/Five_Star_Stories,8.07,,[],[]
Hotarubi no Mori e,https://myanimelist.net/manga/3282/Hotarubi_no_Mori_e,8.07,,[],[]
Yamamoto Zenjirou to Moushimasu,https://myanimelist.net/manga/5775/Yamamoto_Zenjirou_to_Moushimasu,8.07,,[],[]
Ginga Tetsudou 999 (1996),https://myanimelist.net/manga/9705/Ginga_Tetsudou_999_1996,8.07,,[],[]
See You in My 19th Life,https://myanimelist.net/manga/147062/See_You_in_My_19th_Life,8.07,,[],[]
Koi dano Ai dano,https://myanimelist.net/manga/19980/Koi_dano_Ai_dano,8.06,,[],[]
Mahou Shoujo Madoka★Magica,https://myanimelist.net/manga/27861/Mahou_Shoujo_Madoka★Magica,8.06,,[],[]
Saenai Heroine no Sodatekata,https://myanimelist.net/manga/49567/Saenai_Heroine_no_Sodatekata,8.06,,[],[]
Winter Woods,https://myanimelist.net/manga/113671/Winter_Woods,8.06,,[],[]
Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,https://myanimelist.net/manga/116539/Subete_no_Jinrui_wo_Hakai_suru_Sorera_wa_Saisei_Dekinai,8.06,,[],[]
Suki na Ko ga Megane wo Wasureta,https://myanimelist.net/manga/117332/Suki_na_Ko_ga_Megane_wo_Wasureta,8.06,,[],[]
Houkago Shounen Hanako-kun,https://myanimelist.net/manga/121209/Houkago_Shounen_Hanako-kun,8.06,,[],[]
The Remarried Empress,https://myanimelist.net/manga/123475/The_Remarried_Empress,8.06,,[],[]
Heesu in Class 2,https://myanimelist.net/manga/127332/Heesu_in_Class_2,8.06,,[],[]
Saihate no Paladin,https://myanimelist.net/manga/99815/Saihate_no_Paladin,8.06,,[],[]
Higurashi no Naku Koro ni: Tatarigoroshi-hen,https://myanimelist.net/manga/1260/Higurashi_no_Naku_Koro_ni__Tatarigoroshi-hen,8.06,,[],[]
Tobaku Datenroku Kaiji,https://myanimelist.net/manga/3574/Tobaku_Datenroku_Kaiji,8.06,,[],[]
Oooku,https://myanimelist.net/manga/4423/Oooku,8.06,,[],[]
Ashita no Ousama,https://myanimelist.net/manga/8742/Ashita_no_Ousama,8.06,,[],[]
D.Gray-man: Reverse,https://myanimelist.net/manga/9114/DGray-man__Reverse,8.06,,[],[]
Chichi no Koyomi,https://myanimelist.net/manga/10179/Chichi_no_Koyomi,8.06,,[],[]
Adekan,https://myanimelist.net/manga/11914/Adekan,8.06,,[],[]
Ningen Shikkaku,https://myanimelist.net/manga/13290/Ningen_Shikkaku,8.06,,[],[]
Saiyuuki Reload Blast,https://myanimelist.net/manga/14978/Saiyuuki_Reload_Blast,8.06,,[],[]
Kingdom Hearts: 358/2 Days,https://myanimelist.net/manga/15104/Kingdom_Hearts__358_2_Days,8.06,,[],[]
Steins;Gate: Eigou Kaiki no Pandora,https://myanimelist.net/manga/59669/Steins_Gate__Eigou_Kaiki_no_Pandora,8.06,,[],[]
Baraou no Souretsu,https://myanimelist.net/manga/61097/Baraou_no_Souretsu,8.06,,[],[]
Noragami: Shuuishuu,https://myanimelist.net/manga/62723/Noragami__Shuuishuu,8.06,,[],[]
Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,https://myanimelist.net/manga/77465/Higurashi_no_Naku_Koro_ni_-_Dai_3-wa__Tatarigoroshi-hen,8.05,,[],[]
Nekota no Koto ga Kininatte Shikatanai.,https://myanimelist.net/manga/84559/Nekota_no_Koto_ga_Kininatte_Shikatanai,8.05,,[],[]
Nano Machine,https://myanimelist.net/manga/147863/Nano_Machine,8.05,,[],[]
The Legend of the Sun Knight,https://myanimelist.net/manga/18251/The_Legend_of_the_Sun_Knight,8.05,,[],[]
Ouran Koukou Host Club Short Special,https://myanimelist.net/manga/24339/Ouran_Koukou_Host_Club_Short_Special,8.05,,[],[]
Zoku Hoshi Mamoru Inu,https://myanimelist.net/manga/25245/Zoku_Hoshi_Mamoru_Inu,8.05,,[],[]
Yamada-kun to 7-nin no Majo,https://myanimelist.net/manga/35003/Yamada-kun_to_7-nin_no_Majo,8.05,,[],[]
Medaka Box Gaiden: Good Loser Kumagawa,https://myanimelist.net/manga/42569/Medaka_Box_Gaiden__Good_Loser_Kumagawa,8.05,,[],[]
Touhou Suzunaan: Forbidden Scrollery.,https://myanimelist.net/manga/44523/Touhou_Suzunaan__Forbidden_Scrollery,8.05,,[],[]
Log Horizon,https://myanimelist.net/manga/46024/Log_Horizon,8.05,,[],[]
Rough,https://myanimelist.net/manga/1184/Rough,8.05,,[],[]
Gosick,https://myanimelist.net/manga/1313/Gosick,8.05,,[],[]
Vassalord.,https://myanimelist.net/manga/3076/Vassalord,8.05,,[],[]
Clannad: Hikaru Mimamoru Sakamichi de,https://myanimelist.net/manga/6997/Clannad__Hikaru_Mimamoru_Sakamichi_de,8.05,,[],[]
Steins;Gate,https://myanimelist.net/manga/17517/Steins_Gate,8.05,,[],[]
Full Moon wo Sagashite,https://myanimelist.net/manga/8/Full_Moon_wo_Sagashite,8.04,,[],[]
Gokinjo Monogatari,https://myanimelist.net/manga/1216/Gokinjo_Monogatari,8.04,,[],[]
Hidamari Sketch,https://myanimelist.net/manga/1362/Hidamari_Sketch,8.04,,[],[]
Worst,https://myanimelist.net/manga/1741/Worst,8.04,,[],[]
"""Bungaku Shoujo"" Series",https://myanimelist.net/manga/10000/Bungaku_Shoujo_Series,8.04,,[],[]
Seiyuu Ka!,https://myanimelist.net/manga/14633/Seiyuu_Ka,8.04,,[],[]
Omoide Emanon,https://myanimelist.net/manga/17465/Omoide_Emanon,8.04,,[],[]
Ikoku Nikki,https://myanimelist.net/manga/118804/Ikoku_Nikki,8.04,,[],[]
Ponkotsu Ponko,https://myanimelist.net/manga/120250/Ponkotsu_Ponko,8.04,,[],[]
Restart wa Onaka wo Sukasete,https://myanimelist.net/manga/128995/Restart_wa_Onaka_wo_Sukasete,8.04,,[],[]
Josee to Tora to Sakana-tachi,https://myanimelist.net/manga/130661/Josee_to_Tora_to_Sakana-tachi,8.04,,[],[]
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,https://myanimelist.net/manga/80719/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-2_Shou_-_Yashiki_no_Isshuukan-hen,8.04,,[],[]
Gabai: Saga no Gabai Baachan,https://myanimelist.net/manga/19709/Gabai__Saga_no_Gabai_Baachan,8.04,,[],[]
Chuunibyou demo Koi ga Shitai!,https://myanimelist.net/manga/40099/Chuunibyou_demo_Koi_ga_Shitai,8.04,,[],[]
Kagerou Daze,https://myanimelist.net/manga/42867/Kagerou_Daze,8.04,,[],[]
About Death,https://myanimelist.net/manga/50027/About_Death,8.04,,[],[]
Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,https://myanimelist.net/manga/99821/Shinsetsu_Ookami_to_Koushinryou__Ookami_to_Youhishi,8.04,,[],[]
Chi no Wadachi,https://myanimelist.net/manga/104271/Chi_no_Wadachi,8.04,,[],[]
Tsubaki-chou Lonely Planet,https://myanimelist.net/manga/89562/Tsubaki-chou_Lonely_Planet,8.03,,[],[]
Tokidoki,https://myanimelist.net/manga/102165/Tokidoki,8.03,,[],[]
Viral Hit,https://myanimelist.net/manga/139164/Viral_Hit,8.03,,[],[]
Kimi no Yoru ni Fureru,https://myanimelist.net/manga/144011/Kimi_no_Yoru_ni_Fureru,8.03,,[],[]
Ginga Tetsudou 999,https://myanimelist.net/manga/776/Ginga_Tetsudou_999,8.03,,[],[]
Vampire Juujikai,https://myanimelist.net/manga/976/Vampire_Juujikai,8.03,,[],[]
Devilman,https://myanimelist.net/manga/1474/Devilman,8.03,,[],[]
Shoukoku no Altair,https://myanimelist.net/manga/1605/Shoukoku_no_Altair,8.03,,[],[]
Detroit Metal City,https://myanimelist.net/manga/1735/Detroit_Metal_City,8.03,,[],[]
Boku no Hatsukoi wo Kimi ni Sasagu,https://myanimelist.net/manga/4207/Boku_no_Hatsukoi_wo_Kimi_ni_Sasagu,8.03,,[],[]
Voynich Hotel,https://myanimelist.net/manga/25250/Voynich_Hotel,8.03,,[],[]
Pandora Hearts: Caucus Race,https://myanimelist.net/manga/27967/Pandora_Hearts__Caucus_Race,8.03,,[],[]
Ghost Hunt: Akumu no Sumu Ie,https://myanimelist.net/manga/41697/Ghost_Hunt__Akumu_no_Sumu_Ie,8.03,,[],[]
Buttobi Itto,https://myanimelist.net/manga/43857/Buttobi_Itto,8.03,,[],[]
Aoharu x Kikanjuu,https://myanimelist.net/manga/59961/Aoharu_x_Kikanjuu,8.03,,[],[]
Imouto sae Ireba Ii.,https://myanimelist.net/manga/86310/Imouto_sae_Ireba_Ii,8.03,,[],[]
Sono Bisque Doll wa Koi wo Suru,https://myanimelist.net/manga/112268/Sono_Bisque_Doll_wa_Koi_wo_Suru,8.02,,[],[]
Kakeochi Girl,https://myanimelist.net/manga/122842/Kakeochi_Girl,8.02,,[],[]
Romance 101,https://myanimelist.net/manga/131799/Romance_101,8.02,,[],[]
Usemono Yado,https://myanimelist.net/manga/89553/Usemono_Yado,8.02,,[],[]
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? Ex,https://myanimelist.net/manga/103722/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka_Ex,8.02,,[],[]
Ao no Flag,https://myanimelist.net/manga/103942/Ao_no_Flag,8.02,,[],[]
Senryuu Shoujo,https://myanimelist.net/manga/105430/Senryuu_Shoujo,8.02,,[],[]
Mahoutsukai no Yoru,https://myanimelist.net/manga/26027/Mahoutsukai_no_Yoru,8.02,,[],[]
Tekkon Kinkreet,https://myanimelist.net/manga/442/Tekkon_Kinkreet,8.02,,[],[]
Saiyuuki,https://myanimelist.net/manga/509/Saiyuuki,8.02,,[],[]
Shigeshoushi,https://myanimelist.net/manga/544/Shigeshoushi,8.02,,[],[]
MeruPuri: Märchen☆Prince,https://myanimelist.net/manga/665/MeruPuri__Märchen☆Prince,8.02,,[],[]
Sunadokei,https://myanimelist.net/manga/1506/Sunadokei,8.02,,[],[]
Toradora!,https://myanimelist.net/manga/4368/Toradora,8.02,,[],[]
Kingyosou,https://myanimelist.net/manga/5029/Kingyosou,8.02,,[],[]
Toshokan Sensou: Love & War,https://myanimelist.net/manga/7630/Toshokan_Sensou__Love___War,8.02,,[],[]
Tokyo Babylon,https://myanimelist.net/manga/133/Tokyo_Babylon,8.01,,[],[]
Life,https://myanimelist.net/manga/407/Life,8.01,,[],[]
Cesare: Hakai no Souzousha,https://myanimelist.net/manga/1067/Cesare__Hakai_no_Souzousha,8.01,,[],[]
Mudazumonaki Kaikaku,https://myanimelist.net/manga/11329/Mudazumonaki_Kaikaku,8.01,,[],[]
Super Lovers,https://myanimelist.net/manga/17706/Super_Lovers,8.01,,[],[]
Mushoku Tensei: Isekai Ittara Honki Dasu - Shitsui no Majutsushi-hen,https://myanimelist.net/manga/142765/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_-_Shitsui_no_Majutsushi-hen,8.01,,[],[]
Blue Lock: Episode Nagi,https://myanimelist.net/manga/144695/Blue_Lock__Episode_Nagi,8.01,,[],[]
Doupo Cangqiong,https://myanimelist.net/manga/79193/Doupo_Cangqiong,8.01,,[],[]
Saint Seiya: The Lost Canvas - Meiou Shinwa Gaiden,https://myanimelist.net/manga/25916/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa_Gaiden,8.01,,[],[]
10 Dance,https://myanimelist.net/manga/37565/10_Dance,8.01,,[],[]
Kanata no Astra,https://myanimelist.net/manga/98578/Kanata_no_Astra,8.01,,[],[]
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Kamen no Akuma ni Soudan wo!,https://myanimelist.net/manga/97200/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Spin-off__Kono_Kamen_no_Akuma_ni_Soudan_wo,8.0,,[],[]
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",https://myanimelist.net/manga/99391/Doukyonin_wa_Hiza_Tokidoki_Atama_no_Ue,8.0,,[],[]
Majo to Yajuu,https://myanimelist.net/manga/106204/Majo_to_Yajuu,8.0,,[],[]
Koukaku Kidoutai: The Ghost in the Shell,https://myanimelist.net/manga/1023/Koukaku_Kidoutai__The_Ghost_in_the_Shell,8.0,,[],[]
Bokura ga Ita,https://myanimelist.net/manga/1031/Bokura_ga_Ita,8.0,,[],[]
Golden Days,https://myanimelist.net/manga/5454/Golden_Days,8.0,,[],[]
Sumire♡16-sai!!,https://myanimelist.net/manga/5820/Sumire♡16-sai,8.0,,[],[]
Seitokai Yakuindomo,https://myanimelist.net/manga/14110/Seitokai_Yakuindomo,8.0,,[],[]
Hypnosis Mic: Before The Battle - The Dirty Dawg,https://myanimelist.net/manga/117044/Hypnosis_Mic__Before_The_Battle_-_The_Dirty_Dawg,8.0,,[],[]
Uruwashi no Yoi no Tsuki,https://myanimelist.net/manga/128463/Uruwashi_no_Yoi_no_Tsuki,8.0,,[],[]
Unmei no Hito ni Deau Hanashi,https://myanimelist.net/manga/136975/Unmei_no_Hito_ni_Deau_Hanashi,8.0,,[],[]
Hori-san to Miyamura-kun,https://myanimelist.net/manga/36615/Hori-san_to_Miyamura-kun,8.0,,[],[]
Chichikogusa,https://myanimelist.net/manga/52043/Chichikogusa,8.0,,[],[]
Tokyo Ghoul,https://myanimelist.net/manga/74847/Tokyo_Ghoul,8.0,,[],[]
Shinigami wo Tabeta Shoujo,https://myanimelist.net/manga/79169/Shinigami_wo_Tabeta_Shoujo,8.0,,[],[]
Fate/strange Fake,https://myanimelist.net/manga/83923/Fate_strange_Fake,8.0,,[],[]
Saenai Heroine no Sodatekata: Koisuru Metronome,https://myanimelist.net/manga/62083/Saenai_Heroine_no_Sodatekata__Koisuru_Metronome,7.99,,[],[]
Colette wa Shinu Koto ni Shita,https://myanimelist.net/manga/68883/Colette_wa_Shinu_Koto_ni_Shita,7.99,,[],[]
Higurashi no Naku Koro ni - Dai 2-wa: Watanagashi-hen,https://myanimelist.net/manga/77463/Higurashi_no_Naku_Koro_ni_-_Dai_2-wa__Watanagashi-hen,7.99,,[],[]
Kono Subarashii Sekai ni Shukufuku wo!,https://myanimelist.net/manga/80385/Kono_Subarashii_Sekai_ni_Shukufuku_wo,7.99,,[],[]
Overlord,https://myanimelist.net/manga/81667/Overlord,7.99,,[],[]
Ranma ½,https://myanimelist.net/manga/23/Ranma_½,7.99,,[],[]
Kekkaishi,https://myanimelist.net/manga/105/Kekkaishi,7.99,,[],[]
Candy Candy,https://myanimelist.net/manga/1388/Candy_Candy,7.99,,[],[]
Haruka na Machi e,https://myanimelist.net/manga/3258/Haruka_na_Machi_e,7.99,,[],[]
Strobe Edge,https://myanimelist.net/manga/7378/Strobe_Edge,7.99,,[],[]
Slayers,https://myanimelist.net/manga/8876/Slayers,7.99,,[],[]
Giant Killing,https://myanimelist.net/manga/13897/Giant_Killing,7.99,,[],[]
Hidamari no Ki,https://myanimelist.net/manga/14689/Hidamari_no_Ki,7.99,,[],[]
SSS-Class Revival Hunter,https://myanimelist.net/manga/146909/SSS-Class_Revival_Hunter,7.99,,[],[]
No Game No Life: Practical War Game,https://myanimelist.net/manga/103268/No_Game_No_Life__Practical_War_Game,7.99,,[],[]
Sword Art Online,https://myanimelist.net/manga/21479/Sword_Art_Online,7.99,,[],[]
Yowamushi Pedal,https://myanimelist.net/manga/23627/Yowamushi_Pedal,7.99,,[],[]
Steins;Gate: Onshuu no Brownian Motion,https://myanimelist.net/manga/28899/Steins_Gate__Onshuu_no_Brownian_Motion,7.99,,[],[]
Boku no Hero Academia the Movie: Heroes:Rising,https://myanimelist.net/manga/133057/Boku_no_Hero_Academia_the_Movie__Heroes_Rising,7.99,,[],[]
Lookism,https://myanimelist.net/manga/111202/Lookism,7.98,,[],[]
Yamada-kun to Lv999 no Koi wo Suru,https://myanimelist.net/manga/125052/Yamada-kun_to_Lv999_no_Koi_wo_Suru,7.98,,[],[]
Weak Hero,https://myanimelist.net/manga/128231/Weak_Hero,7.98,,[],[]
Sakamoto Days,https://myanimelist.net/manga/131334/Sakamoto_Days,7.98,,[],[]
Itou Junji Jisen Kessakushuu,https://myanimelist.net/manga/136793/Itou_Junji_Jisen_Kessakushuu,7.98,,[],[]
Rakudai Kishi no Cavalry,https://myanimelist.net/manga/57201/Rakudai_Kishi_no_Cavalry,7.98,,[],[]
Tate no Yuusha no Nariagari,https://myanimelist.net/manga/67617/Tate_no_Yuusha_no_Nariagari,7.98,,[],[]
School Rumble,https://myanimelist.net/manga/160/School_Rumble,7.98,,[],[]
Mekakushi no Kuni,https://myanimelist.net/manga/907/Mekakushi_no_Kuni,7.98,,[],[]
Beast Master,https://myanimelist.net/manga/3633/Beast_Master,7.98,,[],[]
Shoot!,https://myanimelist.net/manga/4222/Shoot,7.98,,[],[]
Nurarihyon no Mago,https://myanimelist.net/manga/5664/Nurarihyon_no_Mago,7.98,,[],[]
Doraemon Plus,https://myanimelist.net/manga/11454/Doraemon_Plus,7.98,,[],[]
Kattobi Itto,https://myanimelist.net/manga/11643/Kattobi_Itto,7.98,,[],[]
Reimei no Arcana,https://myanimelist.net/manga/11896/Reimei_no_Arcana,7.98,,[],[]
"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!'",https://myanimelist.net/manga/26441/Maoyuu_Maou_Yuusha__Kono_Ware_no_Mono_to_Nare_Yuusha_yo_Kotowaru,7.98,,[],[]
Sakurasou no Pet na Kanojo,https://myanimelist.net/manga/30051/Sakurasou_no_Pet_na_Kanojo,7.98,,[],[]
Kubera,https://myanimelist.net/manga/42579/Kubera,7.98,,[],[]
Kanshikan Tsunemori Akane,https://myanimelist.net/manga/44933/Kanshikan_Tsunemori_Akane,7.98,,[],[]
Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue,https://myanimelist.net/manga/45447/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru__Monologue,7.98,,[],[]
Kimi no Na wa. Another Side: Earthbound,https://myanimelist.net/manga/100051/Kimi_no_Na_wa_Another_Side__Earthbound,7.98,,[],[]
Skill of Lure,https://myanimelist.net/manga/88991/Skill_of_Lure,7.97,,[],[]
Bokutachi ga Yarimashita,https://myanimelist.net/manga/94919/Bokutachi_ga_Yarimashita,7.97,,[],[]
Sword Art Online: Project Alicization,https://myanimelist.net/manga/99386/Sword_Art_Online__Project_Alicization,7.97,,[],[]
Jitsu wa Watashi wa,https://myanimelist.net/manga/57015/Jitsu_wa_Watashi_wa,7.97,,[],[]
Kimi ga Shinu made Koi wo Shitai,https://myanimelist.net/manga/115122/Kimi_ga_Shinu_made_Koi_wo_Shitai,7.97,,[],[]
Gekijouban One Piece: Stampede,https://myanimelist.net/manga/120656/Gekijouban_One_Piece__Stampede,7.97,,[],[]
Cheese in the Trap Season 1,https://myanimelist.net/manga/37705/Cheese_in_the_Trap_Season_1,7.97,,[],[]
Nijiiro Days,https://myanimelist.net/manga/39291/Nijiiro_Days,7.97,,[],[]
Ajin,https://myanimelist.net/manga/49865/Ajin,7.97,,[],[]
Kimi wa Pet,https://myanimelist.net/manga/392/Kimi_wa_Pet,7.97,,[],[]
Yamato Nadeshiko Shichihenge♥,https://myanimelist.net/manga/422/Yamato_Nadeshiko_Shichihenge♥,7.97,,[],[]
Id,https://myanimelist.net/manga/595/Id,7.97,,[],[]
Tsuki no Shippo,https://myanimelist.net/manga/888/Tsuki_no_Shippo,7.97,,[],[]
Penguin Kakumei,https://myanimelist.net/manga/926/Penguin_Kakumei,7.97,,[],[]
Deep Love: Ayu no Monogatari,https://myanimelist.net/manga/1250/Deep_Love__Ayu_no_Monogatari,7.97,,[],[]
Tenshi Nanka ja Nai,https://myanimelist.net/manga/1496/Tenshi_Nanka_ja_Nai,7.97,,[],[]
Kubikiri Asa,https://myanimelist.net/manga/1683/Kubikiri_Asa,7.97,,[],[]
Psyren,https://myanimelist.net/manga/3438/Psyren,7.97,,[],[]
Sasameki Koto,https://myanimelist.net/manga/4584/Sasameki_Koto,7.97,,[],[]
Karneval,https://myanimelist.net/manga/10270/Karneval,7.97,,[],[]
Hanbun no Tsuki ga Noboru Sora,https://myanimelist.net/manga/10349/Hanbun_no_Tsuki_ga_Noboru_Sora,7.97,,[],[]
Code Geass: Hangyaku no Lelouch,https://myanimelist.net/manga/11496/Code_Geass__Hangyaku_no_Lelouch,7.97,,[],[]
Gekiga Hyouryuu,https://myanimelist.net/manga/13419/Gekiga_Hyouryuu,7.97,,[],[]
D-Frag!,https://myanimelist.net/manga/14721/D-Frag,7.97,,[],[]
Shinrei Tantei Yakumo,https://myanimelist.net/manga/17541/Shinrei_Tantei_Yakumo,7.97,,[],[]
Ludwig Kakumei,https://myanimelist.net/manga/975/Ludwig_Kakumei,7.96,,[],[]
Tobaku Haouden Zero,https://myanimelist.net/manga/3576/Tobaku_Haouden_Zero,7.96,,[],[]
Deadman Wonderland,https://myanimelist.net/manga/3986/Deadman_Wonderland,7.96,,[],[]
Hyakki Yakoushou,https://myanimelist.net/manga/4623/Hyakki_Yakoushou,7.96,,[],[]
Kaijuu no Kodomo,https://myanimelist.net/manga/5655/Kaijuu_no_Kodomo,7.96,,[],[]
Himegimi to Sanbiki no Kemono,https://myanimelist.net/manga/17374/Himegimi_to_Sanbiki_no_Kemono,7.96,,[],[]
Fools,https://myanimelist.net/manga/120970/Fools,7.96,,[],[]
Boys Run the Riot,https://myanimelist.net/manga/124520/Boys_Run_the_Riot,7.96,,[],[]
4 Cut Hero,https://myanimelist.net/manga/99177/4_Cut_Hero,7.96,,[],[]
GTO: Paradise Lost,https://myanimelist.net/manga/70589/GTO__Paradise_Lost,7.96,,[],[]
Kami nomi zo Shiru Sekai,https://myanimelist.net/manga/23032/Kami_nomi_zo_Shiru_Sekai,7.96,,[],[]
Hajimari no Niina,https://myanimelist.net/manga/26021/Hajimari_no_Niina,7.96,,[],[]
Toaru Majutsu no Index SS,https://myanimelist.net/manga/31651/Toaru_Majutsu_no_Index_SS,7.96,,[],[]
Senyuu.,https://myanimelist.net/manga/42531/Senyuu,7.96,,[],[]
Positively Yours,https://myanimelist.net/manga/140921/Positively_Yours,7.96,,[],[]
Semantic Error,https://myanimelist.net/manga/146798/Semantic_Error,7.96,,[],[]
Leviathan,https://myanimelist.net/manga/148137/Leviathan,7.96,,[],[]
Museru kurai no Ai wo Ageru,https://myanimelist.net/manga/152907/Museru_kurai_no_Ai_wo_Ageru,7.96,,[],[]
Tsuki ga Michibiku Isekai Douchuu,https://myanimelist.net/manga/90118/Tsuki_ga_Michibiku_Isekai_Douchuu,7.95,,[],[]
Queen's Quality,https://myanimelist.net/manga/90334/Queens_Quality,7.95,,[],[]
Tokyo卍Revengers,https://myanimelist.net/manga/104565/Tokyo卍Revengers,7.95,,[],[]
